2025-04-27 21:27:20,535 - INFO - Vehicle State Change - New state: {'throttle': 1668, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,617 - INFO - Vehicle State Change - New state: {'throttle': 1655, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,700 - INFO - Vehicle State Change - New state: {'throttle': 1644, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,783 - INFO - Vehicle State Change - New state: {'throttle': 1633, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,865 - INFO - Vehicle State Change - New state: {'throttle': 1620, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,949 - INFO - Vehicle State Change - New state: {'throttle': 1604, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:21,029 - INFO - Vehicle State Change - New state: {'throttle': 1584, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:21,112 - INFO - Vehicle State Change - New state: {'throttle': 1575, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:22,721 - INFO - Vehicle State Change - New state: {'throttle': 1568, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:22,803 - INFO - Vehicle State Change - New state: {'throttle': 1558, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:22,886 - INFO - Vehicle State Change - New state: {'throttle': 1548, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:22,968 - INFO - Vehicle State Change - New state: {'throttle': 1539, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,051 - INFO - Vehicle State Change - New state: {'throttle': 1527, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,133 - INFO - Vehicle State Change - New state: {'throttle': 1512, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,215 - INFO - Vehicle State Change - New state: {'throttle': 1506, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,298 - INFO - Vehicle State Change - New state: {'throttle': 1492, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,380 - INFO - Vehicle State Change - New state: {'throttle': 1480, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,462 - INFO - Vehicle State Change - New state: {'throttle': 1467, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:23,545 - INFO - Vehicle State Change - New state: {'throttle': 1454, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
